id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration
"9618-2305221745--31939,-31973-2-11389-2305230810",634.45,Qatar Airways > Qatar Airways > Pegasus Airlines,Abu Dhabi International > Hamad International > Istanbul Sabiha,AUH > DOH > SAW,Hamad International > Istanbul Sabiha > Ankara Esenboga,DOH > SAW > ESB,2023-05-22 17:45:00,2023-05-23 08:10:00,AUH,ESB,3,385
"9618-2305221745--31939,-32109-3-17606-2305231550",894.99,Qatar Airways > Qatar Airways > Lao Airlines > Lao Airlines,Abu Dhabi International > Hamad International > Ho Chi Minh City > Pakse,AUH > DOH > SGN > PKZ,Hamad International > Ho Chi Minh City > Pakse > Vientiane,DOH > SGN > PKZ > VTE,2023-05-22 17:45:00,2023-05-23 15:50:00,AUH,VTE,4,725
"9618-2305221745--31939,-32166-2-15458-2305231450",511.7,Qatar Airways > Qatar Airways > Jetstar,Abu Dhabi International > Hamad International > Singapore Changi,AUH > DOH > SIN,Hamad International > Singapore Changi > Phnom Penh,DOH > SIN > PNH,2023-05-22 17:45:00,2023-05-23 14:50:00,AUH,PNH,3,695
"9618-2305221745--31939,-32433-3-11001-2305241225",1048.24,Qatar Airways > Qatar Airways > Citilink > Citilink,Abu Dhabi International > Hamad International > Soekarno-Hatta > Bali (Denpasar),AUH > DOH > CGK > DPS,Hamad International > Soekarno-Hatta > Bali (Denpasar) > Dili,DOH > CGK > DPS > DIL,2023-05-22 17:45:00,2023-05-24 12:25:00,AUH,DIL,4,830
"9618-2305221745--31939,-32444-2-17075-2305231540",732.99,Qatar Airways > Qatar Airways > China Airlines,Abu Dhabi International > Hamad International > Bangkok Suvarnabhumi,AUH > DOH > BKK,Hamad International > Bangkok Suvarnabhumi > Taipei Taiwan Taoyuan,DOH > BKK > TPE,2023-05-22 17:45:00,2023-05-23 15:40:00,AUH,TPE,3,715
9618-2305221745--31939-0-11089-2305221750,98.03,Qatar Airways,Abu Dhabi International,AUH,Hamad International,DOH,2023-05-22 17:45:00,2023-05-22 17:50:00,AUH,DOH,1,65
9618-2305221745--31939-1-10610-2305230325,340.37,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Colombo Bandaranayake,DOH > CMB,2023-05-22 17:45:00,2023-05-23 03:25:00,AUH,CMB,2,375
9618-2305221745--31939-1-10901-2305230335,511.92,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Hazrat Shahjalal International Airport ,DOH > DAC,2023-05-22 17:45:00,2023-05-23 03:35:00,AUH,DAC,2,405
9618-2305221745--31939-1-12042-2305230015,427.51,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Baku Heydar Aliyev International,DOH > GYD,2023-05-22 17:45:00,2023-05-23 00:15:00,AUH,GYD,2,230
9618-2305221745--31939-1-12071-2305230720,920.36,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Hanoi,DOH > HAN,2023-05-22 17:45:00,2023-05-23 07:20:00,AUH,HAN,2,510
9618-2305221745--31939-1-12409-2305231655,1067.4,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Incheon International Airport,DOH > ICN,2023-05-22 17:45:00,2023-05-23 16:55:00,AUH,ICN,2,590
9618-2305221745--31939-1-12461-2305230340,746.09,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Imam Khomeini International,DOH > IKA,2023-05-22 17:45:00,2023-05-23 03:40:00,AUH,IKA,2,200
9618-2305221745--31939-1-12569-2305230150,307.7,Qatar Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Islamabad,DOH > ISB,2023-05-22 17:45:00,2023-05-23 01:50:00,AUH,ISB,2,270
