id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration,flight_score
"13288-2305221330--31766,-32166-2-10485-2305230900",430.05,Thai Smile > Jetstar > Jetstar,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Soekarno-Hatta,BKK > SIN > CGK,2023-05-22 13:30:00,2023-05-23 09:00:00,KTM,CGK,3,485,741.72
13288-2305220125--32301-1-10610-2305230110,606.34,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Colombo Bandaranayake,DXB > CMB,2023-05-22 01:25:00,2023-05-23 01:10:00,KTM,CMB,2,590,903.01
13288-2305221955--32301-1-10901-2305230820,571.74,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Hazrat Shahjalal International Airport ,DXB > DAC,2023-05-22 19:55:00,2023-05-23 08:20:00,KTM,DAC,2,590,868.41
13288-2305221050--32213-0-10957-2305221225,110.0,IndiGo,Kathmandu,KTM,Indira Gandhi International ,DEL,2023-05-22 10:50:00,2023-05-22 12:25:00,KTM,DEL,1,110,196.67
"13288-2305222130--32076,-32433-2-11001-2305241225",731.5,Malindo Air > Malindo Air > Citilink,Kathmandu > Kuala Lumpur International > Bali (Denpasar),KTM > KUL > DPS,Kuala Lumpur International > Bali (Denpasar) > Dili,KUL > DPS > DIL,2023-05-22 21:30:00,2023-05-24 12:25:00,KTM,DIL,3,595,1079.83
13288-2305221520--32213-1-11089-2305230545,291.06,IndiGo > IndiGo,Kathmandu > Mumbai,KTM > BOM,Mumbai > Hamad International,BOM > DOH,2023-05-22 15:20:00,2023-05-23 05:45:00,KTM,DOH,2,360,511.06
"13288-2305220800--31921,-31836-1-11191-2305221800",486.99,Nepal Airlines > Somon Air,Kathmandu > Indira Gandhi International ,KTM > DEL,Indira Gandhi International  > Dushanbe,DEL > DYU,2023-05-22 08:00:00,2023-05-22 18:00:00,KTM,DYU,2,265,675.32
"13288-2305221520--32213,-31973-3-11389-2305231140",310.99,IndiGo > Pegasus Airlines,Kathmandu > Istanbul Sabiha,KTM > SAW,Mumbai > Ankara Esenboga,BOM > ESB,2023-05-22 15:20:00,2023-05-23 11:40:00,KTM,ESB,2,215,482.66
"13288-2305221520--32213,-32761-2-11431-2305230850",275.3,IndiGo > IndiGo > Wizz Air Abu Dhabi,Kathmandu > Mumbai > Abu Dhabi International,KTM > BOM > AUH,Mumbai > Abu Dhabi International > Yerevan,BOM > AUH > EVN,2023-05-22 15:20:00,2023-05-23 08:50:00,KTM,EVN,3,535,603.63
13288-2305220125--32301-1-11636-2305230440,670.85,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Bishkek,DXB > FRU,2023-05-22 01:25:00,2023-05-23 04:40:00,KTM,FRU,2,540,950.85
13288-2305220125--32301-1-12042-2305221105,575.49,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Baku Heydar Aliyev International,DXB > GYD,2023-05-22 01:25:00,2023-05-22 11:05:00,KTM,GYD,2,480,835.49
"13288-2305221630--32213,-31703-1-12071-2305230540",324.99,IndiGo > Vietnam Airlines,Kathmandu > Indira Gandhi International ,KTM > DEL,Indira Gandhi International  > Hanoi,DEL > HAN,2023-05-22 16:30:00,2023-05-23 05:40:00,KTM,HAN,2,385,553.32
"13288-2305221330--31766,-31757-2-12409-2305231050",522.13,Thai Smile > Scoot > Scoot,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Incheon International Airport,BKK > SIN > ICN,2023-05-22 13:30:00,2023-05-23 10:50:00,KTM,ICN,3,730,915.46
13288-2305221955--32301-1-12461-2305231410,439.91,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Imam Khomeini International,DXB > IKA,2023-05-22 19:55:00,2023-05-23 14:10:00,KTM,IKA,2,420,679.91
"13288-2305221520--32213,-32348-2-12569-2305230730",408.99,IndiGo > IndiGo > Emirates,Kathmandu > Mumbai > Dubai,KTM > BOM > DXB,Mumbai > Dubai > Islamabad,BOM > DXB > ISB,2023-05-22 15:20:00,2023-05-23 07:30:00,KTM,ISB,3,520,732.32
"13288-2305221330--31766,-31757-2-13311-2305232035",398.87,Thai Smile > Scoot > Scoot,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Kuala Lumpur International,BKK > SIN > KUL,2023-05-22 13:30:00,2023-05-23 20:35:00,KTM,KUL,3,415,687.2
13288-2305221955--32301-1-13344-2305230750,424.29,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Kuwait,DXB > KWI,2023-05-22 19:55:00,2023-05-23 07:50:00,KTM,KWI,2,395,655.96
"13288-2305221000--32714,-31669-2-13445-2305230150",411.8,Air Arabia > Air Arabia > Wizz Air,Kathmandu > Sharjah > Riyadh,KTM > SHJ > RUH,Sharjah > Riyadh > Larnaca,SHJ > RUH > LCA,2023-05-22 10:00:00,2023-05-23 01:50:00,KTM,LCA,3,585,756.8
13288-2305220125--32301-1-13938-2305220810,516.59,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Muscat,DXB > MCT,2023-05-22 01:25:00,2023-05-22 08:10:00,KTM,MCT,2,375,741.59
13288-2305220125--32301-1-14155-2305221440,785.84,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Velana International,DXB > MLE,2023-05-22 01:25:00,2023-05-22 14:40:00,KTM,MLE,2,565,1074.17
"13288-2305221330--31766,-31757-2-14213-2305231835",456.08,Thai Smile > Scoot > Scoot,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Manila Ninoy Aquino,BKK > SIN > MNL,2023-05-22 13:30:00,2023-05-23 18:35:00,KTM,MNL,3,575,797.75
"13288-2305221700--31435,-31714-2-25715-2305231600",477.86,Vistara > Uzbekistan Airways > Uzbekistan Airways,Kathmandu > Indira Gandhi International  > Tashkent,KTM > DEL > TAS,Indira Gandhi International  > Tashkent > Astana Nursultan Nazarbayev,DEL > TAS > NQZ,2023-05-22 17:00:00,2023-05-23 16:00:00,KTM,NQZ,3,420,767.86
"13288-2305221330--31766,-31757-2-14788-2305240615",673.73,Thai Smile > Scoot > Scoot,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Tokyo Narita,BKK > SIN > NRT,2023-05-22 13:30:00,2023-05-24 06:15:00,KTM,NRT,3,770,1080.4
13288-2305221210--31878-1-15277-2305231425,479.9,Sichuan Airlines > Sichuan Airlines,Kathmandu > Chengdu Tianfu International,KTM > TFU,Chengdu Tianfu International > Beijing Capital,TFU > PEK,2023-05-22 12:10:00,2023-05-23 14:25:00,KTM,PEK,2,330,689.9
"13288-2305221330--31766,-32166-2-15458-2305231450",462.96,Thai Smile > Jetstar > Jetstar,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Phnom Penh,BKK > SIN > PNH,2023-05-22 13:30:00,2023-05-23 14:50:00,KTM,PNH,3,500,779.63
13288-2305220125--32301-1-16029-2305221215,536.22,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Riyadh,DXB > RUH,2023-05-22 01:25:00,2023-05-22 12:15:00,KTM,RUH,2,425,777.89
"13288-2305221330--31766,-31757-1-16292-2305222345",382.26,Thai Smile > Scoot,Kathmandu > Bangkok Suvarnabhumi,KTM > BKK,Bangkok Suvarnabhumi > Singapore Changi,BKK > SIN,2023-05-22 13:30:00,2023-05-22 23:45:00,KTM,SIN,2,350,598.93
13288-2305220125--32301-1-16759-2305230240,611.95,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Tashkent,DXB > TAS,2023-05-22 01:25:00,2023-05-23 02:40:00,KTM,TAS,2,515,883.62
13288-2305220125--32301-1-16785-2305221425,623.17,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Tbilisi,DXB > TBS,2023-05-22 01:25:00,2023-05-22 14:25:00,KTM,TBS,2,510,893.17
13288-2305221955--32301-1-16995-2305231220,574.57,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Ben Gurion Intl,DXB > TLV,2023-05-22 19:55:00,2023-05-23 12:20:00,KTM,TLV,2,495,839.57
"13288-2305221330--31766,-31757-2-17075-2305230545",502.09,Thai Smile > Scoot > Scoot,Kathmandu > Bangkok Suvarnabhumi > Singapore Changi,KTM > BKK > SIN,Bangkok Suvarnabhumi > Singapore Changi > Taipei Taiwan Taoyuan,BKK > SIN > TPE,2023-05-22 13:30:00,2023-05-23 05:45:00,KTM,TPE,3,635,863.76
13288-2305220730--31734-1-25768-2305230710,698.2,Turkish Airlines > Turkish Airlines,Kathmandu > Istanbul,KTM > IST,Istanbul > Chinggis Khaan,IST > UBN,2023-05-22 07:30:00,2023-05-23 07:10:00,KTM,UBN,2,960,1118.2
"13288-2305221330--31766,-31768-1-17606-2305230735",331.3,Thai Smile > Thai AirAsia,Kathmandu > Don Mueang,KTM > DMK,Bangkok Suvarnabhumi > Vientiane,BKK > VTE,2023-05-22 13:30:00,2023-05-23 07:35:00,KTM,VTE,2,280,524.63
13311-2305220255--31939-1-9445-2305220930,766.49,Qatar Airways > Qatar Airways,Kuala Lumpur International > Hamad International,KUL > DOH,Hamad International > Amman Queen Alia,DOH > AMM,2023-05-22 02:55:00,2023-05-22 09:30:00,KUL,AMM,2,615,1071.49
13311-2305220225--32348-1-9561-2305230325,514.6,Emirates > Emirates,Kuala Lumpur International > Dubai,KUL > DXB,Dubai > Ashgabat,DXB > ASB,2023-05-22 02:25:00,2023-05-23 03:25:00,KUL,ASB,2,575,806.27
13311-2305220545--32213-1-9618-2305230135,260.66,IndiGo > IndiGo,Kuala Lumpur International > Chennai,KUL > MAA,Chennai > Abu Dhabi International,MAA > AUH,2023-05-22 05:45:00,2023-05-23 01:35:00,KUL,AUH,2,480,520.66
"13311-2305222155--32611,-32339-2-9715-2305230920",337.4,AirAsia > Etihad Airways > Etihad Airways,Kuala Lumpur International > Chennai > Abu Dhabi International,KUL > MAA > AUH,Chennai > Abu Dhabi International > Bahrain,MAA > AUH > BAH,2023-05-22 21:55:00,2023-05-23 09:20:00,KUL,BAH,3,540,667.4
